 
chondrogenesis | chondrogenesis, is f
chondroglossus | chondroglossus, a, um анат.
chondroma | chondroma, atis n
chondropharyngeus | chondropharyngeus, a, um анат.
chondros | chondros, i m
chondrosis | chondrosis, is f
Chonsuridum | Chonsurid(um, i n
chorda | chorda, ae f
chorea | chorea (реже chorea), ae f
choriocapillaris | choriocapillaris, e анат.
Choriogoninum | Choriogonin(um, i n
chorioidea | chorioidea, ae f
chorioideus | chorioideus, a, um анат.
chorion | chorion, i n
choripetalus | choripetalus, a, um биолог.
chors | chors, tis f
chorus | chorus, i m
Christiani | Christiani, orum m
Christianus | I Christianus, a, um m
Christus | Christus, i m
chroma | chroma, atis n
Chromadrenalum | Chromadrenal(um, i n
Chromadrenum | Chromadren(um, i n
chromatophorum | chromatophorum, i n
Chromoflavinum | Chromoflavin(um, i n
chromogenum | chromogenum, i n
chromogenus | chromogenus, a, um биолог.
Chromonarum | Chromonar(um, i n
chromosoma | chromosoma, atis n
chronobiologia | chronobiologia, ae f
chrysanthes | chrysanthes, is n
Chrysarobinum | Chrysarobin(um, i n
Chrysas | Chrysas, ae m
Chryse | Chryse, es f
Chryseis | Chryseis, idos f
Chryses | Chryses, ae m
Chrysippos | Chrysippos, i m
Chrysis | Chrysis, idis f
chrysocarpus | chrysocarpus, a, um бот.
Chrysomallinum | Chrysomallin(um, i n
chrysophrys | chrysophrys ( acc.
chylostasis | chylostasis, is f
chylothorax | chylothorax, acis m
chyluria | chyluria, ae f
chylus | chylus, i m
Chymopsinum | Chymopsin(um, i n
Cia | Cia, ae f
Ciani | Ciani, orum m
Cibalae | Cibalae, arum f
cibaria | cibaria orum n
ciborium | ciborium, i n
cibus | cibus, i m
Cibyra | Cibyra, ae f
Cibyrates | Cibyrates, ae m
cicada | cicada, ae f
cicatrix | cicatrix, icis f
cicer | cicer, eris n
Cicero | Cicero, onis m
cichoreum | cichoreum, i n
Cicones | Cicones, um m
ciconia | ciconia, ae f
Ciconidae | Ciconidae, arum f
cicuta | cicuta, ae f
cieo | cieo, civi, citum, ciere воен.
ciliaris | ciliaris, e анат.
Cilices | Cilices, um m
Cilicia | Cilicia, ae f
cilicium | cilicium, i n
Cilissa | Cilissa, ae f
cilium | cilium, i m
Cilla | Cilla (Cylla), ae f
Cimbri | Cimbri, orum m
cimex | cimex, icis m
Ciminalum | Ciminal(um, i n
Ciminus | Ciminus, i m
Cimmerii | Cimmerii, orum m
Cimolus | Cimolus, i f
Cimon | Cimon (Cimo), onis m
