 
iambus | iambus, i m
Iopanum | Iopan(um, i n
iota | iota n
Ipecacuanha | Ipecacuanha, ae f
Iphigenia | Iphigenia, ae f
Ipnolanum | Ipnolan(um, i n
Ipnosedum | Ipnosed(um, i n
Ipoctalum | Ipoctal(um, i n
Ipoguaninum | Ipoguanin(um, i n
Iprazidum | Iprazid(um, i n
Iproniazidum | Iproniazid(um, i n
Ipronidum | Ipronid(um, i n
Iproninum | Ipronin(um, i n
Iproveratrilum | Iproveratril(um, i n
ipse | ipse, a, um gen.
ira | ira, ae f
iracunde | iracunde adv.
iracundia | iracundia, ae f
Irgapyrinum | Irgapyrin(um, i n
iridicus | iridicus, a, um анат.
iridocornealis | iridocornealis, e анат.
Iridozinum | Iridozin(um, i n
Iris | I Iris, idis f
Irminum | Irmin(um, i n
Iroquinum | Iroquin(um, i n
irridicule | irridicule adv.
irrigatio | irrigatio, onis f
irrigo | irrigo, avi, atum, are поэт.
irrisio | irrisio, onis f
irrisor | irrisor, oris m
irrisus | irrisus, us m
irritamen | irritamen, inis n
irritamentum | irritamentum, i n
irritatio | irritatio, onis f
irrogatio | irrogatio, onis f
irruptio | irruptio, onis f
Isadrinum | Isadrin(um, i n
Isapheninum | Isaphenin(um, i n
Isarolum | Isarol(um, i n
Isazenum | Isazen(um, i n
ischemia | ischemia, ae f
ischemicus | ischemicus, a, um мед.
ischiadicus | ischiadicus, a, um анат.
ischiocavernosus | ischiocavernosus, a, um анат.
ischiofemoralis | ischiofemoralis, e анат.
ischiorectalis | ischiorectalis, e анат.
ischium | ischium, i n
Iscotinum | Iscotin(um, i n
Isis | Isis, is (idis) f
Ismelinum | Ismelin(um, i n
Ismipurum | Ismipur(um, i n
Isobarbum | Isobarb(um, i n
Isobarinum | Isobarin(um, i n
Isobromylum | Isobromyl(um, i n
Isobrovalum | Isobroval(um, i n
Isocainum | Isocain(um, i n
Isocholum | Isochol(um, i n
isochronia | isochronia, ae f
Isocotinum | Isocotin(um, i n
Isodrenalum | Isodrenal(um, i n
Isolanidum | Isolanid(um, i n
Isomilnitritum | Isomilnitrit(um, i n
Isoneurinum | Isoneurin(um, i n
Isoniazidum | Isoniazid(um, i n
Isonicazidum | Isonicazid(um, i n
Isonicidum | Isonicid(um, i n
Isonitrosinum | Isonitrosin(um, i n
Isonorinum | Isonorin(um, i n
isopetalus | isopetalus, a, um биолог.
Isophenum | Isophen(um, i n
Isophrinum | Isophrin(um, i n
Isophyllinum | Isophyllin(um, i n
Isoprinum | Isoprin(um, i n
