 
periappendicularis | periappendicularis, e анат.
periarterialis | periarterialis, e анат.
periarthritis | periarthritis, idis f
periarticularis | periarticularis, e анат.
periauricularis | periauricularis, e анат.
peribronchialis | peribronchialis, e анат.
pericardiacophrenicus | pericardiacophrenicus, a, um анат.
pericarditis | pericarditis, idis f
pericardium | pericardium, i n
perichondritis | perichondritis, idis f
perichondrium | perichondrium, i n
perichorioidealis | perichorioidealis, e анат.
Pericles | Pericles, is m
periclitatio | periclitatio, onis f
pericranium | pericranium, i n
periculose | periculose adv.
periculum | periculum, i n
perilympha | perilympha, ae f
perilymphaticus | perilymphaticus, a, um анат.
perimetritis | perimetritis, idis f
perimetrium | perimetrium, i n
perimo | perimo, emi, emptum (emtum), ere pass.
perimotio | perimotio, onis f
perimysium | perimysium, i n
perincommode | perincommode adv.
perinde | perinde adv.
perinealis | perinealis, e анат.
perinephritis | perinephritis, idis f
perineum | perineum, i n
perineuralis | perineuralis, e анат.
perineurium | perineurium, i n
periodontitis | periodontitis, idis f
periodontium | periodontium, i n
perionyx | perionyx, ycis f
periorbita | periorbita, ae f
periosteum | periosteum, i n
periostitis | periostitis, idis f
peripetasma | peripetasma, atis n
peripheria | peripheria, ae f
periphericus | periphericus, a, um анат.
Periploca | Periploca, ae f
Periplocinum | Periplocinum, i n
periscelis | periscelis, idis f
peristroma | peristroma, atis n
peristylum | peristylum, i n
perite | perite adv.
peritendineum | peritendineum, i n
peritia | peritia, ae f
peritoneoperinealis | peritoneoperinealis, e анат.
peritoneum | peritoneum, i n
peritonitis | peritonitis, idis f
Peritratum | Peritratum, i n
perivascularis | perivascularis, e анат.
periventricularis | periventricularis, e анат.
perjucunde | perjucunde adv.
perjurium | perjurium, i n
perlate | perlate adv.
perlectio | perlectio, onis f
perleviter | perleviter adv.
perlibenter | perlibenter adv.
perliberaliter | perliberaliter adv.
perluo | perluo, lui, lutum, ere pass.
permale | permale adv.
permansio | permansio, onis f
permissio | permissio, onis f
permissum | permissum, i n
permissus | permissus, us m
Permitilum | Permitilum, i n
permixte | permixte adv.
permixtim | permixtim adv.
permixtio | permixtio, onis f
permoleste | permoleste adv.
permulto | permulto adv.
permultum | permultum adv.
permutatio | permutatio, onis f
perna | perna, ae f
pernecesse | pernecesse adv.
pernicies | pernicies, ei f
perniciose | perniciose adv.
pernicitas | pernicitas, atis f
Pernovinum | Pernovinum, i n
pero | pero, onis m
perofficiose | perofficiose adv.
Perolysenum | Perolysenum, i n
peronealis | peronealis, e анат.
peropportune | peropportune adv.
peroratio | peroratio, onis f
Perovexum | Perovexum, i n
peroxydum | peroxydum, i n
perparvum | perparvum adv.
perpaulum | perpaulum, i n
perpendicularis | perpendicularis, e анат.
perpendiculum | perpendiculum, i n
perperem | perperem adv.
perpessio | perpessio, onis f
perpetuitas | perpetuitas, atis f
Perphenanum | Perphenanum, i n
Perphenazinum | Perphenazinum, i n
perplexe | perplexe adv.
perpotatio | perpotatio, onis f
perquam | perquam adv.
perquisite | perquisite adv.
perraro | perraro adv.
perridicule | perridicule adv.
perrogatio | perrogatio, onis f
Persae | Persae, arum m
persaepe | persaepe adv.
persalse | persalse adv.
persalutatio | persalutatio, onis f
persancte | persancte adv.
