lymphadenitis |  lymphadenitis, idis f
lymphangioma |  lymphangioma, atis n
lymphaticus |  lymphaticus, a, um анат.
lymphatus |  lymphatus, a, um
lymphoblastus |  lymphoblastus, i m
lymphocytus |  lymphocytus, i m
lymphoglandula |  lymphoglandula, ae f
lymphonodulus |  lymphonodulus, i m
lymphonodus |  lymphonodus, i m
lymphopenia |  lymphopenia, ae f
lymphorrhoea |  lymphorrhoea, ae f
lymphostasis |  lymphostasis, is f
Lynaminum |  Lynamin(um, i n
Lynestoralum |  Lynestoral(um, i n
Lynoralum |  Lynoral(um, i n
lynx |  lynx, lyncis m
Lyogenum |  Lyogen(um, i n
Lyothyroninum |  Lyothyronin(um, i n
lyra |  lyra, ae f
lyrici |  lyrici, orum m
lyricus |  lyricus, a, um
Lysander |  Lysander, dri m
Lysergidum |  Lysergid(um, i n
Lysias |  Lysias, ae m
Lysimachus |  Lysimachus, i m
Lysoformium |  Lysoformium, i n
Lysolum |  Lysolum, i n
lysosoma |  lysosoma, atis n
Lysthenonum |  Lysthenon(um, i n
