perarduus |  perarduus, a, um
perargutus |  perargutus, a, um
perarmatus |  perarmatus, a, um
peraro |  peraro, avi, atum, are поэт.
perattente |  perattente adv.
perattentus |  perattentus, a, um
perbacchor |  perbacchor, atus sum, ari
perbeatus |  perbeatus, a, um
perbelle |  perbelle adv.
perbene |  perbene adv.
perbenevolus |  perbenevolus, a, um
perbenigne |  perbenigne adv.
perbibo |  perbibo, bibi, --, ere
perblandus |  perblandus, a, um
perbonus |  perbonus, a, um
perbrevis |  perbrevis, e
perbreviter |  perbreviter adv.
perca |  perca, ae f
Percainum |  Percain(um, i n
percalesco |  percalesco, calui, --, ere
percallesco |  percallesco, callui, --, ere
Percaminum |  Percamin(um, i n
percarus |  percarus, a, um
percautus |  percautus, a, um
percelebro |  percelebro, avi, atum, are pass.
perceler |  perceler, is, e
perceleriter |  perceleriter adv.
percello |  percello, culi, culsum, ere
percenseo |  percenseo, censui, --, ere
perceptio |  perceptio, onis f
Perchlorethylenum |  Perchlorethylen(um, i n
percieo |  percieo
percio |  percio, civi, citum, ire
percipio |  percipio, cepi, ceptum, ere pf.
percitus |  percitus, a, um
percolo |  percolo, colui, cultum, ere
percomis |  percomis, e
percommode |  percommode adv.
percommodus |  percommodus, a, um
percontatio |  percontatio, onis f
percontator |  percontator, oris m
percontor |  percontor (percunctor), atus sum, ari
Percortenum |  Percorten(um, i n
percrebresco |  percrebresco (percrebesco), brui (bui), --, ere
percrepo |  percrepo, --, --, are
percunct |  percunct...
percunctor |  percunctor, atus sum, ari
percupidus |  percupidus, a, um
percuriosus |  percuriosus, a, um
percuro |  percuro, avi, atum, are
percurro |  percurro, cucurri (curri), cursum, ere
percursatio |  percursatio, onis f
percursio |  percursio, onis f
percurso |  percurso, --, --, are
percussio |  percussio, onis f
percussor |  percussor, oris m
percussus |  percussus, us m
percutio |  percutio, cussi, cussum, ere
perdifficilis |  perdifficilis, e
perdifficiliter |  perdifficiliter adv.
perdignus |  perdignus, a, um
perdiligens |  perdiligens, entis
perdiligenter |  perdiligenter adv.
perdisco |  perdisco, didici, --, ere pf.
perdiserte |  perdiserte adv.
perdite |  perdite adv.
perditor |  perditor, oris m
perditus |  perditus, a, um
perdiu |  perdiu adv.
perdiuturnus |  perdiuturnus, a, um
perdives |  perdives, itis
perdix |  perdix, icis m
perdo |  perdo, didi, ditum, ere поэт.
perdoceo |  perdoceo, docui, doctum, ere
perdoctus |  perdoctus, a, um
perdoleo |  perdoleo, dolui, --, ere
perdolesco |  perdolesco, dolui, --, ere
perdomo |  perdomo, domui, domitum, are
perduco |  perduco, duxi, ductum, ere поэт.
perductor |  perductor, oris m
perduellio |  perduellio, onis f
perduellis |  perduellis, is m
perduro |  perduro, avi, atum, are
peredo |  peredo, edi, esum, ere
peregre |  peregre adv.
peregrina |  peregrina, ae f
peregrinabundus |  peregrinabundus, a, um
peregrinatio |  peregrinatio, onis f
peregrinator |  peregrinator, oris m
peregrinitas |  peregrinitas, atis f
peregrinor |  peregrinor, atus sum, ari
peregrinus |  I peregrinus, a, um m
perelegans |  perelegans, antis
pereleganter |  pereleganter adv.
pereloquens |  pereloquens, entis
Pereminum |  Peremin(um, i n
peremnis |  peremnis, e
perendie |  perendie adv.
perendinus |  perendinus, a, um
perennis |  perennis, e биолог.
perennitas |  perennitas, atis f
perenno |  perenno, avi, atum, are
pereo |  pereo, ii (редко ivi), itum, ire
perequito |  perequito, avi, atum, are
pererro |  pererro, avi, atum, are
pereruditus |  pereruditus, a, um
perexcelsus |  perexcelsus, a, um
perexigue |  perexigue adv.
perexiguus |  perexiguus, a, um
perfacete |  perfacete adv.
perfacetus |  perfacetus, a, um
perfacile |  perfacile adv.
perfacilis |  perfacilis, e
perfamiliaris |  perfamiliaris, e
perfecte |  perfecte adv.
perfectio |  perfectio, onis f
perfector |  perfector, oris m
perfectus |  perfectus, a, um
perferens |  perferens, entis
perfero |  perfero, tuli, latum, ferre pass.
perficio |  perficio, feci, fectum, ere
perfidelis |  perfidelis, e
perfidia |  perfidia, ae f
perfidiose |  perfidiose adv.
perfidiosus |  perfidiosus, a, um
perfidus |  perfidus, a, um
perflabilis |  perflabilis, e
perflagitiosus |  perflagitiosus, a, um
perflo |  perflo, avi, atum, are
perfodio |  perfodio, fodi, fossum, ere
perforaculum |  perforaculum, i n
perforans |  perforans, antis
perforatio |  perforatio, onis f
perforatus |  perforatus, a, um анат.
perforo |  perforo, avi, atum, are
perfremo |  perfremo, --, --, ere
perfrequens |  perfrequens, entis
perfrico |  perfrico, cui, catnm (ctum), are
perfrigidus |  perfrigidus, a, um
perfringo |  perfringo, fregi, fractum, ere
perfruor |  perfruor, fructus sum, frui
perfuga |  perfuga, ae m
perfugio |  perfugio, fugi, fugitum, ere
perfugium |  perfugium, i n
perfunctio |  perfunctio, onis f
perfundo |  perfundo, fudi, fusum, ere, pass.
perfungor |  perfungor, functus sum, fungi
Pergamum |  Pergamum, i n
pergaudeo |  pergaudeo, --, ere
pergnarus |  pergnarus, a, um
