tralatio |  tralatio
tralatus |  tralatus, a, um part.
traluceo |  traluceo
trames |  trames, itis m
tramigro |  tramigro
tramitto |  tramitto
tranato |  tranato (transnato), avi, atum, are
Trancocardum |  Trancocard(um, i n
trano |  trano (transno), avi, atum, are
Tranquilanum |  Tranquilan(um, i n
Tranquilinum |  Tranquilin(um, i n
tranquillitas |  tranquillitas, atis f
tranquillo |  I tranquillo adv.
tranquillum |  tranquillum, i n
tranquillus |  tranquillus, a, um
Tranquilum |  Tranquil(um, i n
Tranquisanum |  Tranquisan(um, i n
trans |  trans praep.
transabeo |  transabeo, ii, --, ire
transactor |  transactor, oris m
transadigo |  transadigo, egi, actum, ere
transalpinus |  transalpinus, a, um
Transaminum |  Transamin(um, i n
transcendo |  transcendo (transscendo), scendi, scensum, ere
transcribo |  transcribo (transscribo), scripsi, scriptum, ere юр.
transcurro |  transcurro, cucurri (curri), cursum, ere
transdo |  transdo
transduco |  transduco
transeo |  transeo, ii, itum, ire поэт.
transfero |  transfero (trafero), transtuli, translatum (tralatum), transferre
transfigo |  transfigo, fixi, fixum, ere
transfodio |  transfodio, fodi, fossum, ere
transformis |  transformis, e
transformo |  transformo, avi, atum, are
transfuga |  transfuga, ae m
transfugio |  transfugio, fugi, fugitum, ere
transfugium |  transfugium, i n
transfundo |  transfundo, fudi, fusum, ere pass.
transfusio |  transfusio, onis f
transgredior |  transgredior, gressus sum, gredi
transgressio |  transgressio, onis f
transigo |  transigo, egi, actum, ere
transilio |  transilio (transsilio), ui (ivi), --, ire
transitio |  transitio, onis f
transitus |  transitus, us m
transject |  transject...
transjicio |  transjicio
translaticius |  translaticius (tralaticius), a, um
translatio |  translatio (tralatio), onis f
translator |  translator, oris m
transluceo |  transluceo (traluceo), --, --, ere
transmarinus |  transmarinus, a, um
transmigro |  transmigro, avi, atum, are
transmissio |  transmissio, onis f
transmissus |  transmissus, us m
transmitto |  transmitto (tramitto), misi, missum, ere
transmontani |  transmontani, orum m
transmuto |  transmuto, --, --, are
transn |  transn...
transpadani |  transpadani, orum m
transpadanus |  transpadanus, a, um
transplantatio |  transplantatio, onis f
transplantatum |  transplantatum, i n
transplantologia |  transplantologia, ae f
transporto |  transporto, avi, atum, are
transrhenani |  transrhenani, orum m
transrhenanus |  transrhenanus, a, um
transs |  transs...
transtrum |  transtrum, i n
transulto |  transulto, --, --, are
transuo |  transuo (transsuo), sui, sutum, ere
transveho |  transveho, vexi, vectum, ere pass.
transverbero |  transverbero, avi, atum, are
transversa |  transversa adv.
transversalis |  transversalis, e анат.
transversarius |  transversarius (traversarius), a, um
transversospinalis |  transversospinalis, e анат.
transversum |  I transversum (transvorsum) adv.
transversus |  transversus (transvorsus, traversus, travorsus), a, um
transvolo |  transvolo (travolo), avi, atum, are
transvors |  transvors...
Tranykyprominum |  Tranykypromin(um, i n
Trapanalum |  Trapanal(um, i n
trapetum |  trapetum, i n
trapezium |  trapezium, i n
trapezius |  trapezius, a, um анат.
trapezoideus |  trapezoideus, a, um
Trasentinum |  Trasentin(um, i n
Trasylolum |  Trasylol(um, i n
trauma |  trauma, atis n
traumaticus |  traumaticus, a, um мед.
traveho |  traveho
traversarius |  traversarius, a, um см.
travolo |  travolo
Traxalum |  Traxal(um, i n
Trebia |  Trebia, ae f
Trecatorum |  Trecator(um, i n
treceni |  treceni, ae, a
trecentesimus |  trecentesimus, a, um
trecenti |  trecenti, ae, a
tredecim |  tredecim
tremebundus |  tremebundus (tremibundus), a, um
tremefacio |  tremefacio, feci, factum, ere
tremendus |  tremendus, a, um
tremesco |  tremesco (tremisco), --, --, ere поэт.
tremibundus |  tremibundus, a, um
tremisco |  tremisco, --, --, ere
tremo |  tremo, mui, --, ere
