Serpasilum |  Serpasil(um, i n
Serpatum |  Serpat(um, i n
serpens |  serpens, entis m
serpentigena |  serpentigena, ae m
serpentinus |  serpentinus, a, um
serpentipes |  serpentipes, edis m
Serpenum |  Serpen(um, i n
Serpiloidum |  Serpiloid(um, i n
Serpinum |  Serpin(um, i n
serpo |  serpo, serpsi, serptum, ere
serpyllum |  serpyllum, i n
serra |  serra, ae f
serrati |  serrati, orum m
serratus |  serratus, a, um
serrula |  serrula, ae f
serta |  serta, ae f
Sertanum |  Sertan(um, i n
Sertorius |  Sertorius, a, um
serum |  I serum, i n
serus |  serus, a, um поэт.
serva |  serva, ae f
servabilis |  servabilis, e
servans |  servans, antis
servator |  servator, oris m
servatrix |  servatrix, icis f
servilis |  servilis, e
serviliter |  serviliter adv.
Servilius |  Servilius, a, um
servio |  servio, ivi (ii), itum, ire
servitium |  servitium, i n
servitus |  servitus, utis f
Servius |  Servius, i m
servo |  servo, avi, atum, are поэт.
servolus |  servolus, i m
servula |  servula, ae f
servulus |  servulus (servolus), i m
servus |  I servus, a, um m
sesamoides |  sesamoides, is анат.
sesamoideus |  sesamoideus, a, um
sesceni |  sesceni, ae, a
sescennaris |  sescennaris, e
sesqui |  sesqui adv.
sesquialter |  sesquialter, era, erum
sesquimodius |  sesquimodius, i m
sesquioctavus |  sesquioctavus, a, um
sesquipedalis |  sesquipedalis, e
sessilis |  sessilis, e
sessio |  sessio, onis f
sessor |  sessor, oris m
sestertium |  sestertium, i n
sestertius |  sestertius, i m
Sestius |  Sestius, a, um
set |  set
seta |  seta, ae f
Sethadilum |  Sethadil(um, i n
setiger |  I setiger, era, erum m
setosus |  setosus, a, um
seu |  seu
Sevenalum |  Sevenal(um, i n
severe |  severe adv.
severitas |  severitas, atis f
severus |  I severus, a, um поэт.
Sevicainum |  Sevicain(um, i n
Sevinalum |  Sevinal(um, i n
Sevinolum |  Sevinol(um, i n
Sevinonum |  Sevinon(um, i n
sevoco |  sevoco, avi, atum, are
sevum |  sevum, i n
sex |  sex
sexagenarius |  sexagenarius, a, um
sexageni |  sexageni, ae, a
sexagesimus |  sexagesimus, a, um
sexagies |  sexagies (sexagiens) adv.
sexaginta |  sexaginta
sexangularis |  sexangularis, e биолог.
sexangulus |  sexangulus, a, um
sexapodus |  sexapodus, a, um биолог.
sexcenarius |  sexcenarius, a, um
sexceni |  sexceni (sesceni), ae, a
sexcentesimus |  sexcentesimus, a, um
sexcenti |  sexcenti, ae, a
sexcenties |  sexcenties adv.
sexdecim |  sexdecim
sexennis |  sexennis, e
sexennium |  sexennium, i n
sexies |  sexies (sexiens) adv.
sextans |  sextans, antis m
sextarius |  sextarius, i m
sextilis |  I sextilis, e m
Sextius |  Sextius, a, um
sextula |  sextula, ae f
sextum |  sextum adv.
sextus |  I sextus, a, um m
sexualis |  sexualis, e биолог.
sexus |  sexus, is m
si |  si conj.
sialographia |  sialographia, ae f
sibilo |  sibilo, --, --, are
sibilus |  I sibilus, a, um m
sibiricus |  sibiricus, a, um биолог.
Sibylla |  Sibylla, ae f
Sibyllinus |  Sibyllinus, a, um
sic |  sic adv.
sica |  sica, ae f
Sicani |  Sicani, orum m
Sicania |  Sicania, ae f
sicarius |  sicarius, i m
siccitas |  siccitas, atis f
sicco |  sicco, avi, atum, are поэт.
siccum |  siccum, i n
siccus |  siccus, a, um поэт.
Sicilia |  Sicilia, ae f
sicubi |  sicubi conj.
Siculi |  Siculi, orum m
sicunde |  sicunde conj.
sicut |  sicut (sicuti) adv.
Sicyon |  Sicyon, onis m
sidereus |  sidereus, a, um
sido |  sido, sidi (sedi), sessum, ere
Sidon |  Sidon, onis f
sidus |  sidus, eris n
Sigambri |  Sigambri, orum m
sigillatus |  sigillatus, a, um
sigillum |  sigillum, i n
Sigmamycinum |  Sigmamycin(um, i n
sigmoideus |  sigmoideus, a, um анат.
signator |  signator, oris m
Signemycinum |  Signemycin(um, i n
signifer |  I signifer, era, erum m
significanter |  significanter adv.
significatio |  significatio, onis f
significo |  significo, avi, atum, are
signo |  signo, avi, atum, are
signum |  signum, i n
Silbephyllinum |  Silbephyllin(um, i n
silenda |  silenda, orum n
silentium |  silentium, i n
Silenus |  Silenus, i m
sileo |  sileo, ui, --, ere
siler |  siler, eris n
silesco |  silesco, --, --, ere
silex |  silex, icis m
siliqua |  siliqua, ae f
Silubinum |  Silubin(um, i n
silva |  silva, ae f
Silvanus |  Silvanus, i m
silvester |  silvester, tris, tre поэт.
silvestria |  silvestria, ium n
silvicola |  silvicola, ae m
silvosus |  silvosus, a, um
simia |  simia, ae f
simile |  simile, is n
similis |  similis, e
similiter |  similiter adv.
similitudo |  similitudo, inis f
simius |  simius
simplex |  simplex, icis
simplicitas |  simplicitas, atis f
simpliciter |  simpliciter adv.
simplum |  simplum, i n
simplus |  simplus, a, um
simpulum |  simpulum, i n
simpuvium |  simpuvium, i n
simul |  simul ( арх.
simulacrum |  simulacrum, i n
simulamen |  simulamen, inis n
simulans |  simulans, antis
simulatio |  simulatio, onis f
simulator |  simulator, oris m
simulatus |  simulatus, a, um
simulo |  simulo, avi, atum, are поэт.
simultas |  simultas, atis f
sin |  sin conj.
sinapis |  sinapis, is f
sinapismus |  sinapismus, i m
Sinaplegum |  Sinapleg(um, i n
sincere |  sincere adv.
sinceritas |  sinceritas, atis f
sincerus |  sincerus, a, um
sinciput |  sinciput, itis n
Sincolinum |  Sincolin(um, i n
sine |  sine praep.
Sinestrolum |  Sinestrol(um, i n
singillatim |  singillatim (singulatim) adv.
singula |  singula, orum n
singularis |  singularis, e грам.
singulariter |  singulariter adv.
singulatim |  singulatim
singuli |  singuli, ae, a
singultim |  singultim adv.
singulto |  singulto, (avi), atum, are поэт.
singultus |  singultus, us m
sinister |  sinister, tra, trum
sinistra |  sinistra, ae f
sinistre |  sinistre adv.
