ea |  ea adv.
exaedifico |  exaedifico, avi, atum, are
exaequatio |  exaequatio, onis f
exaequo |  exaequo, avi, atum, are
exaestuo |  exaestuo, avi, atum, are
exaggero |  exaggero, avi, atum, are
exagito |  exagito, avi, atum, are
exalbesco |  exalbesco, bui, --, ere
exalo |  exalo, avi, atum, are
examen |  examen, inis n
examino |  examino, avi, atum, are
Exangitum |  Exangit(um, i n
exanimis |  exanimis, e
exanimo |  exanimo, avi, atum, are pass.
exanimus |  exanimus, a, um
exanthema |  exanthema, atis n
exardesco |  exardesco, arsi, arsum, ere
exaresco |  exaresco, arui, --, ere
exaro |  exaro, avi, atum, are
exaspero |  exaspero, avi, atum, are pass.
exauctoro |  exauctoro, avi, atum, are
exaudio |  exaudio, ivi, itum, ire
exauguratio |  exauguratio, onis f
exauguro |  exauguro, --, --, are
excaeco |  excaeco, avi, atum, are
excanto |  excanto, avi, atum, are
excavatio |  excavatio, onis f
excavatus |  excavatus, a, um анат.
excavo |  excavo, avi, atum, are
excedo |  excedo, cessi, cessum, ere
excellens |  excellens, entis
excellenter |  excellenter adv.
excellentia |  excellentia, ae f
excello |  excello, --, --, ere
excelsum |  excelsum, i n
excelsus |  excelsus, a, um
exceptio |  exceptio, onis f
excepto |  excepto, --, --, are
excerno |  excerno, crevi, cretum, ere
excerpo |  excerpo, cerpsi, cerptum, ere
excessus |  excessus, us m
excetra |  excetra, ae f
excidium |  excidium, i n
excido |  I excido, cidi, --, ere
excieo |  excieo, civi, citum, ere
excindo |  excindo
excio |  excio, civi, citum, ire pass.
excipio |  excipio, cepi, ceptum, ere
excisio |  excisio, onis f
excitatus |  excitatus, a, um
excito |  excito, avi, atum, are юр.
exclamatio |  exclamatio, onis f
exclamo |  exclamo, avi, atum, are
excludo |  excludo, clusi, clusum, ere
excogito |  excogito, avi, atum, are
excolo |  excolo, colui, cultum, ere
excoquo |  excoquo, coxi, coctum, ere
excors |  excors, ordis
excreo |  excreo
excretorius |  excretorius, a, um анат.
excretum |  excretum, i n
excrucio |  excrucio, avi, atum, are
excubiae |  excubiae, arum f
excubitor |  excubitor, oris m
excubo |  excubo, bui, bitum, are
excudo |  excudo, cudi, cusum, ere
exculco |  exculco, --, --, are
excurro |  excurro, cucurri (curri), cursum, ere
excursio |  excursio, onis f
excursor |  excursor, oris m
excursus |  excursus, us m
excusabilis |  excusabilis, e
excusatio |  excusatio, onis f
excuso |  excuso, avi, atum, are
excutio |  excutio, cussi, cussum, ere
exec |  exec...
exedo |  exedo, edi, esum, ere
exemplar |  exemplar, aris n
exemplum |  exemplum, i n
exeo |  exeo, ii (редко ivi), itum, ire
exeq |  exeq...
exerceo |  exerceo, cui, citum, ere pass.
exercitatio |  exercitatio, onis f
exercitatus |  exercitatus, a, um
exercito |  exercito, avi, atum, are
exercitus |  I exercitus, a, um m
exero |  exero
exfodio |  exfodio, fodi, fossum, ere
exhaered |  exhaered...
exhalatio |  exhalatio, onis f
exhalo |  exhalo (exalo), avi, atum, are поэт.
exhaurio |  exhaurio, hausi, haustum, ire
exheredo |  exheredo, avi, atum, are
exhibeo |  exhibeo, hibui, hibitum, ere юр.
Exhorranum |  Exhorran(um, i n
exhorresco |  exhorresco, horrui, --, ere
exhortor |  exhortor, atus sum, ari
exigo |  exigo, egi, actum, ere поэт.
exigue |  exigue adv.
exiguitas |  exiguitas, atis f
exiguum |  exiguum, i n
