detero |  detero, trivi, tritum, ere
deterreo |  deterreo, terrui, territum, ere
detestatio |  detestatio, onis f
detestatus |  detestatus, a, um
detestor |  detestor, atus sum, ari
detexo |  detexo, texui, textum, ere
detineo |  detineo, tinui, tentum, ere
detondeo |  detondeo, tondi, tonsum, ere
detono |  detono, tonui, --, are
detorqueo |  detorqueo, torsi, tortum, ere
detractatio |  detractatio, onis f
detractator |  detractator, oris m
detracto |  detracto, avi, atum, are
detraho |  detraho, traxi, tractum, ere
detrectatio |  detrectatio (detractatio), onis f
detrectator |  detrectator (detractator), oris m
detrecto |  detrecto (detracto), avi, atum, are
detrimentosus |  detrimentosus, a, um
detrimentum |  detrimentum, i n
detrudo |  detrudo, trusi, trusum, ere воен.
detrunco |  detrunco, avi, atum, are
detrusor |  detrusor, oris m
deturbo |  deturbo, avi, atum, are
Deucalion |  Deucalion, onis m
Deucalioneus |  Deucalioneus, a, um
Deumacardum |  Deumacard(um, i n
deunx |  deunx, uncis m
deuro |  deuro, ussi, ustum, ere
deus |  deus, i m
deutor |  deutor, usus sum, uti
devasto |  devasto, avi, atum, are
Deveganum |  Devegan(um, i n
deveho |  deveho, vеxi, vectum, ere
devello |  devello, vulsi (volsi), --, ere
develo |  develo, --, --, are
deveneror |  deveneror, atus sum, ari
devenio |  devenio, veni, ventum, ire
deversor |  deversor, atus sum, ari
deversorium |  deversorium, i n
deverticulum |  deverticulum (devorticulum), i n
deverto |  deverto (devorto), verti (vorti), versum (vorsum), ere
devexus |  devexus, a, um
devia |  devia, orum n
deviatio |  deviatio, onis f
Devincanum |  Devincan(um, i n
devincio |  devincio, vinxi, vinctum, ire
devinco |  devinco, vici, victum, ere
devinctus |  devinctus, a, um
devito |  devito, avi, atum, are
devius |  devius, a, um поэт.
devoco |  devoco, avi, atum, are
devolo |  devolo, avi, atum, are
devolvo |  devolvo, volvi, volutum, ere pass.
devoro |  devoro, avi, atum, are
devorticulum |  devorticulum, i n
devorto |  devorto, vorti, vorsum, ere
devoti |  devoti, orum n
devotio |  devotio, onis f
devotus |  devotus, a, um
devoveo |  devoveo, vovi, votum, ere pass.
Dexadrolum |  Dexadrol(um, i n
Dexamethazonum |  Dexamethazon(um, i n
Dexamethum |  Dexameth(um, i n
Dexasonum |  Dexason(um, i n
Dexocortum |  Dexocort(um, i n
Dexophrinum |  Dexophrin(um, i n
dexter |  dexter, tra, trum compar.
dextera |  dextera, ae f
dextere |  dextere
dexterior |  dexterior, ius см.
dexteritas |  dexteritas, atis f
dextimus |  dextimus, a, um см.
dextra |  dextra (dextera), ae f
Dextravanum |  Dextravan(um, i n
dextre |  dextre (dextere) adv.
Dextromoramidum |  Dextromoramid(um, i n
dextrorsum |  dextrorsum (dextrorsus) adv.
dextrorsus |  dextrorsus
Dextrosum |  Dextros(um, i n
dextumus |  dextumus, a, um см.
Dia |  Dia, ae f
Diabamidum |  Diabamid(um, i n
Diabarylum |  Diabaryl(um, i n
Diabenylum |  Diabenyl(um, i n
Diabetamidum |  Diabetamid(um, i n
diabetes |  diabetes, ae m
diabeticus |  diabeticus, a, um мед.
Diabetum |  Diabet(um, i n
Diabexanum |  Diabexan(um, i n
Diabinesum |  Diabines(um, i n
Diablintes |  Diablintes, um m
Diacarbum |  Diacarb(um, i n
diadema |  diadema, atis n
Diaethiphenum |  Diaethiphen(um, i n
Diaethylcarbamazinum |  Diaethylcarbamazin(um, i n
Diaethylstilboestrolum |  Diaethylstilboestrol(um, i n
Diaginolum |  Diaginol(um, i n
Diagnorenolum |  Diagnorenol(um, i n
diagnosis |  diagnosis, is f
dialectica |  I dialectica, ae f
dialecticus |  I dialecticus, a, um m
Dialis |  Dialis, e
Diambutolum |  Diambutol(um, i n
diameter |  diameter, tri f
Diaminpenicillinum |  Diaminpenicillin(um, i n
Diamoxum |  Diamox(um, i n
Diamthazolum |  Diamthazol(um, i n
Diana |  Diana, ae f
Dianabolum |  Dianabol(um, i n
Dianium |  Dianium, i n
Dianius |  Dianius, a, um
Dianonum |  Dianon(um, i n
Diapheinum |  Diaphein(um, i n
diaphragma |  diaphragma, atis n
diaphragmaticus |  diaphragmaticus, a, um анат.
Diaphyllinum |  Diaphyllin(um, i n
diaphysis |  diaphysis, is f
diarium |  I diarium, i n
diarrhoea |  diarrhoea, ae f
diarthrosis |  diarthrosis, is f
diastema |  diastema, atis n
diastole |  diastole, es f
diathermia |  diathermia, ae f
diathesis |  diathesis, is f
Diatrizoatum |  Diatrizoat(um, i n
Diazanum |  Diazan(um, i n
Diazepamum |  Diazepam(um, i n
Diazilum |  Diazil(um, i n
Diazolinum |  Diazolin(um, i n
Diazolum |  Diazol(um, i n
Dibasinum |  Dibasin(um, i n
Dibazolum |  Dibazol(um, i n
Dibestilum |  Dibestil(um, i n
Dibucainum |  Dibucain(um, i n
dica |  dica, ae f
Dicainum |  Dicain(um, i n
Dicaphenum |  Dicaphen(um, i n
Dicaptolum |  Dicaptol(um, i n
dicatio |  dicatio, onis f
dicax |  dicax, acis
dicephalus |  dicephalus, i m
Dichascum |  Dichasc(um, i n
dicheilia |  dicheilia, ae f
Dichlorenum |  Dichloren(um, i n
Dichlorizoproterenolum |  Dichlorizoproterenol(um, i n
Dichlorophenum |  Dichlorophen(um, i n
Dichlothiazidum |  Dichlothiazid(um, i n
Dichlotridum |  Dichlotrid(um, i n
dicio |  dicio, onis f
dicis |  dicis gen.
dico |  I dico, avi, atum, are pass.
Dicodalum |  Dicodal(um, i n
Dicodidum |  Dicodid(um, i n
Dicolinum |  Dicolin(um, i n
Dicopalum |  Dicopal(um, i n
Dictaeus |  Dictaeus, a, um
dictamnus |  dictamnus, i f
dictata |  dictata, orum n
dictator |  dictator, oris m
dictatorius |  dictatorius, a, um
dictatura |  dictatura, ae f
Dicte |  Dicte, es f
dictio |  dictio, onis f
dictito |  dictito, avi, atum, are
dicto |  dicto, avi, atum, are
dictum |  dictum, i n
Dictynna |  Dictynna, ae f
Dictynneum |  Dictynneum, i n
Dicumacylum |  Dicumacyl(um, i n
Dicumarinum |  Dicumarin(um, i n
didactylia |  didactylia, ae f
dido |  I dido, dididi, diditum, ere pass.
Didrocolum |  Didrocol(um, i n
Didrofillina |  Didrofillina, ae f
Didroxanum |  Didroxan(um, i n
diduco |  diduco, duxi, ductum, ere воен.
Didyma |  Didyma, on n
Didymeum |  Didymeum, i n
diencephalon |  diencephalon, i n
dies |  dies, ei m
Diespiter |  Diespiter, tris m
diffamo |  diffamo, avi, atum, are
differens |  differens, entis
differo |  differo, distuli, dilatum, differre
differtus |  differtus, a, um
difficile |  difficile adv.
difficilis |  difficilis, e
